Ir,T,Power
1159.2,17.937,3.60E+06
269.52,18.327,8.36E+05
713.81,20.938,2.21E+06
859.6,33.489,2.54E+06
453.61,26.992,1.37E+06
437.81,21.783,1.37E+06
1030.1,16.136,3.23E+06
1484.8,33.08,4.24E+06
1211.7,16.696,3.75E+06
1399.5,26.124,4.14E+06
509.06,15.251,1.62E+06
685.61,34.989,2.03E+06
1043,25.997,3.16E+06
1180.7,21.394,3.60E+06
1065,22.297,3.27E+06
202.57,33.358,5.90E+05
243.86,29.969,7.28E+05
1198,22.063,3.65E+06
129.62,15.328,3.67E+05
574.59,29.409,1.74E+06
1362,24.473,4.06E+06
178.04,23.155,5.08E+05
570.06,21.082,1.78E+06
515.08,34.428,1.53E+06
905.41,19.747,2.82E+06
1376.3,15.755,4.26E+06
879.85,28.489,2.64E+06
1405.5,34.77,4.01E+06
341.34,15.06,1.07E+06
272.49,18.286,8.38E+05
900.34,26.348,2.73E+06
1160.7,17.21,3.62E+06
1129.5,25.663,3.39E+06
749.7,26.889,2.28E+06
1476.5,22.304,4.42E+06
485.64,21.559,1.51E+06
1342.9,30.515,3.92E+06
424.35,28.012,1.28E+06
144.6,34.502,3.95E+05
260.71,17.848,8.12E+05
1106.8,21.558,3.38E+06
1049.1,17.035,3.27E+06
883.82,17.455,2.77E+06
451.27,26.404,1.39E+06
112.44,24.369,3.15E+05
511.66,20.187,1.60E+06
827.27,25.021,2.54E+06
190.38,24.697,5.46E+05
1247,28.193,3.70E+06
371.81,34.177,1.08E+06
1435.5,33.138,4.11E+06
633.5,27.836,1.92E+06
1248.4,23.339,3.77E+06
1104.9,31.646,3.25E+06
1037.2,26.14,3.14E+06
1443.7,32.894,4.14E+06
276.3,24.064,8.23E+05
524.71,17.539,1.66E+06
548.61,22.388,1.70E+06
1299.9,18.619,3.99E+06
239.01,15.353,7.58E+05
1217,20.131,3.72E+06
603.76,31.171,1.81E+06
892.75,30.642,2.66E+06
782.93,23.831,2.42E+06
573.12,16.096,1.83E+06
1069.3,15.354,3.36E+06
689.99,32.628,2.06E+06
102.07,25.014,2.88E+05
1156.7,28.51,3.44E+06
353.54,34.92,1.02E+06
1348,28.92,3.95E+06
242.81,32.434,7.17E+05
1371.7,33.122,3.95E+06
893.99,23.165,2.74E+06
240.89,25.878,7.05E+05
716.26,27.611,2.18E+06
400.29,27.796,1.21E+06
1455.8,28.944,4.24E+06
1337.8,33.537,3.85E+06
1423.4,25.358,4.22E+06
349.45,31.439,1.05E+06
168.47,17.583,5.03E+05
1404.7,20.618,4.24E+06
1421.7,28.687,4.16E+06
1043.8,22.534,3.20E+06
1315.3,26.171,3.91E+06
524.72,31.985,1.57E+06
1198.4,34.413,3.46E+06
120.9,20.139,3.67E+05
534.07,19.546,1.68E+06
1111.6,27.983,3.31E+06
1401.4,25.88,4.15E+06
718.59,27.805,2.19E+06
408.25,15.99,1.29E+06
394.64,32.284,1.16E+06
255.18,34.299,7.43E+05
665.13,18.647,2.10E+06
887.97,23.247,2.72E+06
1203.8,16.541,3.74E+06
138.14,31.837,3.81E+05
268.95,34.053,7.84E+05
957.04,20.27,2.96E+06
1075.1,25.528,3.24E+06
980.57,27.413,2.96E+06
1108.2,15.904,3.47E+06
1228.2,22.889,3.72E+06
331.02,32.946,9.74E+05
1349.3,31.901,3.91E+06
935.82,23.355,2.86E+06
879.85,25.878,2.67E+06
1105.9,22.456,3.37E+06
436.27,28.376,1.31E+06
151.35,22.712,4.41E+05
1196.3,21.87,3.63E+06
892.43,21.365,2.76E+06
1490.3,15.546,4.57E+06
481.55,25.047,1.47E+06
617.54,19.439,1.95E+06
640.94,31.085,1.92E+06
1198.5,28.108,3.56E+06
600.4,21.78,1.88E+06
173.78,32.257,5.02E+05
203.39,28.692,5.98E+05
903.02,23.619,2.77E+06
780.67,28.571,2.36E+06
384.5,22.366,1.20E+06
1163.9,17.1,3.63E+06
994.78,30.111,2.96E+06
1004.7,28.368,3.01E+06
929.2,29.806,2.78E+06
749.71,17.872,2.35E+06
546.2,31.957,1.64E+06
1020.9,22.779,3.13E+06
1383.8,25.552,4.11E+06
322.47,28.86,9.75E+05
1196.8,31.929,3.50E+06
740.21,16.779,2.33E+06
289.87,26.426,8.77E+05
972.95,28.943,2.92E+06
682.02,17.775,2.16E+06
534.13,29.247,1.62E+06
397.43,29.676,1.19E+06
645.08,15.422,2.06E+06
1011.2,27.687,3.04E+06
1105.8,31.032,3.25E+06
1053.2,20.54,3.26E+06
1016.2,30.296,3.01E+06
508.77,31.37,1.53E+06
208.81,33.178,6.11E+05
1496.7,23.376,4.46E+06
472.27,20.199,1.49E+06
576.16,30.772,1.73E+06
991.12,29.945,2.96E+06
1364.5,34.999,3.90E+06
1468.1,24.52,4.36E+06
768.83,16.372,2.43E+06
526.63,33.462,1.57E+06
1060.6,20.728,3.27E+06
707.47,22.348,2.18E+06
800.37,18.152,2.52E+06
726.61,33.295,2.16E+06
224.28,22.442,6.64E+05
173.51,31.447,5.05E+05
1227.1,31.861,3.58E+06
1026.8,34.221,2.99E+06
936.97,32.568,2.77E+06
387.32,26.555,1.18E+06
1179.8,32.442,3.45E+06
213.2,32.001,6.29E+05
1402.6,25.752,4.16E+06
173.72,32.736,4.99E+05
323.79,30.915,9.68E+05
530.22,28.05,1.62E+06
1324,17.908,4.07E+06
1317.1,32.246,3.82E+06
1146.5,28.35,3.41E+06
1404.4,22.861,4.21E+06
721.7,19.348,2.25E+06
1215.6,32.401,3.55E+06
1116.7,17.581,3.47E+06
232.4,16.873,7.30E+05
373.21,23.849,1.15E+06
545.95,27.884,1.66E+06
1137.8,21.656,3.47E+06
1244,20.059,3.80E+06
959.15,32.131,2.83E+06
350.69,25.091,1.08E+06
1096.1,19.616,3.39E+06
1231,26.578,3.68E+06
1469.8,32.767,4.20E+06
1169.4,32.665,3.41E+06
556.64,29.463,1.69E+06
748.47,29.799,2.26E+06
885.75,23.231,2.72E+06
184.6,25.008,5.28E+05
821.95,25.351,2.52E+06
808.8,23.447,2.50E+06
1017,29.418,3.02E+06
1032.4,24.873,3.14E+06
234.57,31.2,6.96E+05
653.61,22.442,2.03E+06
540.77,23.198,1.68E+06
821.52,20.655,2.56E+06
764.83,15.572,2.44E+06
294.3,17.377,9.09E+05
815.41,33.778,2.40E+06
599.35,33.844,1.77E+06
526.47,19.498,1.65E+06
252.34,27.087,7.43E+05
877.74,27.095,2.65E+06
1209.7,15.418,3.77E+06
1484.2,16.738,4.53E+06
1360.7,19.762,4.15E+06
1233,27.302,3.67E+06
490.89,28.018,1.49E+06
1341.6,22.617,4.04E+06
1316,33.258,3.80E+06
1375.6,32.61,3.97E+06
402.35,15.284,1.27E+06
228.82,29.387,6.79E+05
531.73,19.261,1.67E+06
264,22.266,7.89E+05
565.94,27.176,1.73E+06
115.28,16.771,3.55E+05
876.97,34.363,2.58E+06
1170.2,21.971,3.56E+06
1385.2,33.941,3.97E+06
565.24,20.052,1.77E+06
728.17,29.804,2.20E+06
236.01,30.638,7.02E+05
478.95,17.572,1.52E+06
1428.8,31.374,4.13E+06
277.11,29.622,8.30E+05
434.76,17.233,1.38E+06
423.11,31.349,1.25E+06
375.78,32.566,1.10E+06
1164.5,32.506,3.41E+06
137.74,19.747,4.03E+05
674.17,23.231,2.07E+06
432.61,32.519,1.28E+06
224.72,28.317,6.61E+05
446.6,17.246,1.42E+06
944.03,34.383,2.76E+06
1144.1,17.243,3.56E+06
345.91,21.47,1.07E+06
221.62,30.303,6.57E+05
821.39,18.345,2.58E+06
912.94,19.273,2.85E+06
317.87,26.985,9.65E+05
508.12,24.696,1.57E+06
381.06,16.981,1.19E+06
1285.8,28.962,3.79E+06
586.06,28.212,1.79E+06
638.13,25.893,1.95E+06
296.37,28.263,8.94E+05
758.12,23.77,2.33E+06
1191.1,17.185,3.69E+06
1072.7,16.212,3.36E+06
914.42,22.483,2.81E+06
602.75,29.349,1.83E+06
1077.1,30.899,3.17E+06
918.91,24.101,2.81E+06
364.43,18.313,1.13E+06
1328.4,23.559,3.99E+06
676.9,25.008,2.08E+06
876.74,23.524,2.69E+06
1211.1,23.364,3.67E+06
407.01,28.02,1.23E+06
1403.1,19.003,4.27E+06
1211.5,22.818,3.67E+06
802.58,33.267,2.37E+06
667.69,27.794,2.03E+06
660.88,18.593,2.09E+06
1312.9,32.784,3.80E+06
812.73,19.567,2.55E+06
1398.4,19.015,4.25E+06
1040.3,24.406,3.17E+06
1279.5,15.509,3.96E+06
731.94,23.378,2.25E+06
165.7,33.519,4.66E+05
1448.5,19.732,4.38E+06
621.26,28.19,1.88E+06
528.17,33.629,1.57E+06
363.08,29.248,1.10E+06
245.33,21.246,7.44E+05
1205.8,17.889,3.73E+06
540.46,30.327,1.62E+06
519.45,27.749,1.59E+06
1117.5,29.211,3.31E+06
1031,21.89,3.17E+06
1146.3,30.572,3.38E+06
527.07,21.28,1.64E+06
1497.6,30.716,4.32E+06
1080.6,31.684,3.18E+06
611.91,31.594,1.82E+06
1173.3,27.945,3.49E+06
143.26,34.991,3.90E+05
1187.6,21.549,3.61E+06
159.9,24.24,4.67E+05
902,25.544,2.74E+06
457.41,31.193,1.36E+06
1156.9,29.167,3.43E+06
1249.4,21.661,3.80E+06
783.99,34.62,2.30E+06
1423,18.05,4.34E+06
1492.5,27.54,4.37E+06
214.92,23.916,6.26E+05
528.48,23.974,1.63E+06
481.31,19.776,1.52E+06
1439.5,31.805,4.14E+06
1335,33.534,3.85E+06
1434.6,16.25,4.40E+06
1370.9,32.371,3.96E+06
115.47,19.819,3.46E+05
1402,24.204,4.18E+06
726.85,16.431,2.31E+06
804.07,22.616,2.49E+06
588.81,15.131,1.89E+06
1177.6,34.415,3.41E+06
611.79,23.697,1.90E+06
1319.3,16.812,4.08E+06
1442.2,25.477,4.27E+06
558.81,24.82,1.73E+06
1092.8,18.819,3.39E+06
887.47,27.354,2.68E+06
312.92,34.052,9.17E+05
393.92,32.527,1.16E+06
425.4,24.174,1.30E+06
1366.6,26.729,4.04E+06
155.74,20.548,4.40E+05
451.92,19.297,1.42E+06
1046.6,26.066,3.16E+06
383.9,34.722,1.12E+06
139.83,28.012,4.04E+05
236.12,22.655,7.01E+05
554.06,16.792,1.76E+06
478.99,32.957,1.42E+06
1047.8,24.964,3.18E+06
745.05,26.016,2.28E+06
562.95,18.73,1.78E+06
261.21,26.718,7.72E+05
610.07,16.507,1.95E+06
562.84,26.882,1.72E+06
802.58,30.626,2.40E+06
1252.8,32.944,3.63E+06
897.41,15.8,2.83E+06
1440.5,32.988,4.13E+06
313.28,28.323,9.49E+05
180.74,32.361,5.25E+05
895.62,21.219,2.77E+06
244.72,16.064,7.72E+05
1458.1,16.884,4.46E+06
1018.3,22.416,3.13E+06
881.87,31.988,2.62E+06
1214.5,29.465,3.59E+06
899.75,22.703,2.77E+06
1328.1,29.931,3.88E+06
194.66,15.825,6.12E+05
1292.3,26.74,3.84E+06
1025.4,26.76,3.10E+06
460.67,28.61,1.40E+06
1353.3,22.623,4.07E+06
540.07,18.155,1.71E+06
1039.3,25.634,3.15E+06
1235.3,25.299,3.71E+06
364.02,30.57,1.09E+06
1366.9,26.274,4.05E+06
939.67,27.398,2.84E+06
1010.8,17.639,3.16E+06
452.16,28.817,1.36E+06
633.77,26.185,1.93E+06
376.32,30.696,1.12E+06
968.69,19.593,3.00E+06
224.81,34.637,6.53E+05
1006,29.512,3.00E+06
960.69,34.526,2.81E+06
451,20.622,1.41E+06
870.28,34.115,2.57E+06
452.57,25.764,1.39E+06
915.98,24.674,2.79E+06
774.03,20.831,2.41E+06
354.24,19.655,1.10E+06
783.69,28.29,2.37E+06
158.85,34.01,4.40E+05
723.99,23.608,2.23E+06
1146.6,19.901,3.52E+06
1140,20.692,3.51E+06
185.94,27.255,5.46E+05
629.97,31.375,1.88E+06
171.01,32.655,4.91E+05
213.52,31.726,6.31E+05
1075.4,27.067,3.22E+06
819.2,19.956,2.56E+06
1085.9,25.934,3.27E+06
1334.2,17.691,4.11E+06
1316.4,34.618,3.78E+06
617.97,18.889,1.95E+06
777.41,23.761,2.40E+06
323.43,33.47,9.50E+05
687.85,28.185,2.09E+06
687.35,33.71,2.04E+06
1097.4,34.051,3.20E+06
1381.5,18.654,4.22E+06
1035.9,16.931,3.24E+06
1477.9,29.874,4.28E+06
398.7,27.348,1.21E+06
569.84,27.652,1.74E+06
822.06,30.738,2.45E+06
803.65,18.291,2.53E+06
810.45,31.456,2.41E+06
700.35,18.154,2.22E+06
1044.8,20.533,3.22E+06
624.7,22.936,1.94E+06
284.96,34.325,8.26E+05
1445.6,15.28,4.45E+06
813.11,18.902,2.55E+06
1294.2,32.058,3.76E+06
904.02,21.339,2.80E+06
641.46,30.296,1.93E+06
1052.6,17.506,3.28E+06
967.77,28.753,2.91E+06
1164.4,19.543,3.59E+06
414.01,15.3,1.31E+06
919.46,29.655,2.75E+06
1310.4,16.577,4.05E+06
705.65,31.096,2.12E+06
813.39,23.1,2.52E+06
751.97,22.371,2.33E+06
886.85,26.047,2.69E+06
355.67,28.458,1.07E+06
999.35,31.326,2.95E+06
470.96,30.983,1.41E+06
536.01,29.306,1.63E+06
1378.6,29.071,4.04E+06
221.65,25.157,6.44E+05
1186.7,25.065,3.57E+06
181.95,28.36,5.37E+05
673.55,15.021,2.15E+06
1044,24.228,3.18E+06
1440.7,22.732,4.32E+06
464.25,19.162,1.46E+06
988.51,22.087,3.04E+06
289.52,19.335,8.84E+05
948.53,23.876,2.90E+06
772.6,32.74,2.29E+06
117.64,26.57,3.27E+05
193.02,20.849,5.72E+05
781.81,18.524,2.45E+06
794.48,27.437,2.41E+06
1124.8,34.757,3.26E+06
662.86,32.691,1.98E+06
366.51,28.336,1.11E+06
785.15,24.398,2.42E+06
638.8,17.949,2.03E+06
1244.1,17.206,3.84E+06
1241.7,31.408,3.62E+06
475.49,16.936,1.50E+06
879.77,31.631,2.61E+06
1047.8,20.104,3.25E+06
482.84,20.536,1.51E+06
1116.8,30,3.30E+06
592.6,34.075,1.76E+06
1432.3,26.999,4.22E+06
1103.2,32.936,3.23E+06
259.92,23.697,7.72E+05
1282.1,27.594,3.80E+06
1248.3,16.464,3.87E+06
1471.7,29.395,4.28E+06
1453.1,21.959,4.36E+06
937.1,24.664,2.86E+06
1263,16.428,3.91E+06
749.98,19.169,2.34E+06
1078.3,29.639,3.19E+06
212.65,22.976,6.23E+05
1391.5,23.729,4.16E+06
432.24,19.577,1.36E+06
479.92,31.201,1.43E+06
721.51,33.203,2.15E+06
723.37,23.282,2.23E+06
926.54,23.878,2.83E+06
202.23,23.967,5.84E+05
1370.8,25.024,4.08E+06
332.58,18.848,1.02E+06
839.89,33.284,2.48E+06
150.12,18.276,4.24E+05
318.19,24.768,9.69E+05
633.43,30.42,1.90E+06
297.3,28.407,8.95E+05
905.15,31.38,2.69E+06
950.21,29.615,2.84E+06
1141.3,27.385,3.40E+06
447.29,17.897,1.40E+06
779.86,22.696,2.42E+06
166.7,15.664,5.11E+05
983.66,21.189,3.03E+06
362.78,30.317,1.09E+06
955.09,29.399,2.86E+06
931.69,29.456,2.79E+06
1372.3,17.542,4.21E+06
1164,16.773,3.63E+06
1055.8,33.182,3.09E+06
315.85,33.785,9.27E+05
1418.1,23.73,4.24E+06
444.26,16.429,1.42E+06
1295.2,26.895,3.85E+06
906.13,22.04,2.79E+06
1310.5,16.355,4.05E+06
381.48,33.166,1.12E+06
369.66,17.623,1.15E+06
1185.1,29.273,3.51E+06
289.13,17.242,8.95E+05
775.68,33.518,2.29E+06
416.61,16.789,1.32E+06
809.9,21.019,2.52E+06
1184.9,15.147,3.71E+06
451.59,28.304,1.36E+06
374.48,34.872,1.09E+06
1158.7,21.569,3.53E+06
857.7,24.567,2.62E+06
403.48,30.87,1.20E+06
993.5,30.291,2.96E+06
1135.7,17.543,3.54E+06
1057.6,29.946,3.13E+06
601.32,18.812,1.90E+06
904.14,20.247,2.81E+06
648.42,21.421,2.02E+06
478.2,15.094,1.52E+06
538,28.222,1.64E+06
809.69,32.563,2.40E+06
206.55,34.288,5.97E+05
286.08,26.939,8.58E+05
630.11,22.963,1.96E+06
1203.6,25.767,3.61E+06
734.76,15.285,2.34E+06
545.55,20.46,1.71E+06
662.68,19.6,2.08E+06
1056.8,22.29,3.24E+06
369.73,17.411,1.15E+06
1012.4,21.241,3.11E+06
198.39,27.999,5.82E+05
1288.5,17.027,3.98E+06
579.3,19.233,1.83E+06
227.69,20.052,6.92E+05
389.83,27.321,1.18E+06
1348.6,29.328,3.95E+06
1311.3,31.765,3.81E+06
127.39,21.625,3.86E+05
178.75,28.453,5.29E+05
433.31,24.499,1.33E+06
177.12,31.81,5.15E+05
939.82,20.589,2.91E+06
1451.1,16.755,4.44E+06
165.66,27.353,4.93E+05
1455.9,17.527,4.45E+06
619.97,20.473,1.95E+06
280.77,22.72,8.48E+05
538.47,32.092,1.61E+06
1210.4,27.475,3.61E+06
872.97,19.729,2.73E+06
432.12,21.116,1.34E+06
413.1,18.219,1.29E+06
1346.6,30.523,3.93E+06
1331.2,31.01,3.87E+06
216.77,18.26,6.73E+05
136.64,21.448,4.11E+05
386.58,25.548,1.19E+06
147.48,18.151,4.15E+05
945.43,26.584,2.86E+06
856.49,34.124,2.52E+06
983.25,27.002,2.97E+06
167.13,19.513,4.82E+05
601.57,29.719,1.82E+06
839.18,29.193,2.52E+06
793.89,30.881,2.37E+06
389.43,33.837,1.14E+06
1018.9,19.867,3.15E+06
491.27,16.89,1.57E+06
1052.5,33.621,3.08E+06
901.97,33.215,2.66E+06
993.09,34.442,2.89E+06
992.29,31.016,2.95E+06
1331.1,34.136,3.83E+06
534.82,27.089,1.64E+06
483.93,16.461,1.54E+06
303.33,21.51,9.21E+05
872.97,18.553,2.74E+06
878.27,28.293,2.65E+06
861.27,32.561,2.55E+06
213.47,15.544,6.75E+05
1020.1,18.412,3.17E+06
780.99,26.745,2.38E+06
539.62,22.164,1.67E+06
1462,17.311,4.46E+06
1353.6,31.89,3.93E+06
270.21,18.043,8.39E+05
1153.2,18.535,3.57E+06
934.88,24.187,2.85E+06
1192.6,30.358,3.52E+06
883.91,32.395,2.62E+06
409.65,31.191,1.21E+06
301.92,26.495,9.14E+05
637.27,28.012,1.93E+06
866.03,22.658,2.67E+06
313.85,19.537,9.63E+05
540.68,17.178,1.71E+06
589.3,22.468,1.84E+06
503.09,33.743,1.49E+06
1476.3,33.297,4.21E+06
472.21,16.397,1.49E+06
570.94,32.688,1.70E+06
111.37,17.947,3.36E+05
503.87,17.653,1.60E+06
157.42,33.043,4.40E+05
1451,23.486,4.33E+06
316.11,34.788,9.18E+05
1078,28.685,3.21E+06
654.96,34.818,1.94E+06
1373.9,17.923,4.21E+06
707.87,23.15,2.18E+06
1415.5,22.875,4.24E+06
1218.4,15.054,3.80E+06
829.65,29.228,2.49E+06
1225,32.888,3.56E+06
1236.3,28.172,3.67E+06
1482.1,28.465,4.31E+06
383.19,17.891,1.20E+06
381.72,16.982,1.19E+06
972.64,28.592,2.92E+06
547.78,18.646,1.73E+06
1378.5,17.328,4.24E+06
1464.6,19.135,4.43E+06
1382.9,28.382,4.06E+06
414.34,18.023,1.30E+06
1104.4,16.966,3.45E+06
884.69,25.524,2.69E+06
406.77,28.34,1.23E+06
733,24.807,2.25E+06
754.86,30.477,2.27E+06
607.67,29.308,1.84E+06
320.26,24.972,9.76E+05
375.24,18.662,1.17E+06
1048.1,32.941,3.07E+06
943.16,20.197,2.92E+06
915.39,24.539,2.79E+06
1315.6,28.516,3.87E+06
950.41,32.605,2.81E+06
1228,26.981,3.66E+06
359.09,33.635,1.05E+06
1023.7,28.881,3.06E+06
1225.8,22.593,3.71E+06
449.8,21.57,1.41E+06
1469.5,19.905,4.44E+06
649.82,15.53,2.08E+06
1185.6,23.889,3.59E+06
263.67,34.942,7.64E+05
1050.6,23.842,3.21E+06
313.83,21.226,9.59E+05
1347.9,18.048,4.14E+06
811.24,29.506,2.43E+06
1118.4,31.135,3.29E+06
1068.9,25.841,3.23E+06
284.15,23.911,8.58E+05
788.22,28.977,2.37E+06
838.37,19.517,2.63E+06
766.75,15.872,2.44E+06
1238.9,18.996,3.80E+06
832.41,29.568,2.49E+06
181.55,23.421,5.18E+05
211.42,25.271,6.11E+05
892.38,20.873,2.77E+06
1316,29.723,3.86E+06
1028.8,34.24,3.00E+06
1343,33.568,3.87E+06
1097.8,16.666,3.43E+06
456.15,21.962,1.43E+06
1355.2,29.378,3.97E+06
465.28,17.565,1.48E+06
1162.8,31.096,3.42E+06
469.6,31,1.40E+06
701.35,32.763,2.09E+06
1189.8,20.297,3.64E+06
392.79,22.52,1.22E+06
1218.9,19.857,3.73E+06
1190.4,20.576,3.64E+06
824.96,20.279,2.58E+06
966.31,23.318,2.96E+06
545.84,21.01,1.70E+06
748.64,31.447,2.24E+06
729.03,34.155,2.16E+06
727.82,16.384,2.31E+06
367.6,26.143,1.12E+06
1425.9,27.301,4.20E+06
1239.2,26.292,3.70E+06
852.98,15.18,2.69E+06
504.28,28.099,1.53E+06
1320.5,29.258,3.88E+06
1127.7,30.077,3.33E+06
187.65,30.569,5.54E+05
123.29,21.99,3.69E+05
1035.1,26.652,3.12E+06
1211.1,16.602,3.77E+06
206.24,24.987,5.95E+05
344.91,16.767,1.07E+06
397.17,26.048,1.22E+06
224.18,16.522,7.06E+05
1415.9,25.162,4.21E+06
1476.7,29.383,4.29E+06
1098.4,20.878,3.38E+06
1423.1,23.115,4.26E+06
239.24,15.805,7.57E+05
653.15,26.957,7.02E+05
115.41,21.009,7.24E+05
586.48,28.764,7.11E+05
571.51,17.537,7.49E+05
846.25,33.085,7.03E+05
495.82,25.552,7.00E+05
1212.7,21.091,3.70E+06
120.42,29.899,3.31E+05
498.74,33.56,1.47E+06
108.1,24.437,3.01E+05
292.83,20.714,8.91E+05
853.41,21.75,2.65E+06
1239.2,25.466,3.72E+06
360.55,32.609,1.06E+06
177.86,25.75,5.19E+05
984.05,32.61,2.89E+06
1155.8,22.48,3.51E+06
1285.6,24.871,3.85E+06
284.65,24.22,8.60E+05
261.47,20.753,7.97E+05
667.21,16.402,2.13E+06
647.01,30.299,1.95E+06
1408.8,33.774,4.03E+06
534.15,27.954,1.63E+06
1386.8,27.921,4.08E+06
356.84,32,1.06E+06
1469.7,21.498,4.41E+06
456.17,26.372,1.38E+06
1126.1,27.586,3.36E+06
138.51,20.916,4.12E+05
269.32,17.874,8.35E+05
1126.1,24.222,3.40E+06
847.1,20.783,2.64E+06
1276.5,18.17,3.93E+06
132.1,26.987,3.80E+05
1007.8,24.779,3.07E+06
1490.6,25.262,4.40E+06
636.08,25.922,1.94E+06
203.61,31.658,6.01E+05
455.47,18.404,1.43E+06
759.98,19.634,2.37E+06
526.71,24.956,1.63E+06
1280.8,31.476,3.73E+06
179.92,17.873,5.45E+05
459.62,32.791,1.37E+06
447.8,22.456,1.40E+06
532.03,23.513,1.64E+06
278.1,30.541,8.29E+05
391.4,30.819,1.16E+06
1293.9,15.102,4.03E+06
1252.6,20.67,3.83E+06
253.96,23.373,7.54E+05
324.63,16.111,1.01E+06
